time,city,area,current_speed,free_speed,confidence,lat,lon
2026-03-31 18:59:21.863663,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:23.617057,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:25.413305,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:27.144667,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:28.947402,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:30.805189,Delhi,Connaught Place,19,24,1,28.6315,77.2167
2026-03-31 18:59:33.178594,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:36.081022,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:37.854600,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:39.548465,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:41.386657,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:43.046060,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:44.856552,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:46.620327,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:48.600949,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:50.263425,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:52.048546,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:53.815232,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:55.661295,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:57.713956,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:59:59.547204,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 19:00:01.636381,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 19:00:03.839196,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 19:00:05.755762,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 19:00:08.370285,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 19:00:10.272182,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 19:00:12.292017,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 19:00:14.255034,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 19:00:16.350370,Delhi,Connaught Place,16,23,1,28.6315,77.2167
